,My,Thy,Ace,Stick,Hit,Greedy Choice,Greedy Value
95,21,4,False,0.8942937324602432,-1.0,0,0.8942937324602432
96,11,4,False,-inf,0.2472027972027972,1,0.2472027972027972
97,9,4,False,-inf,0.11588204862907397,1,0.11588204862907397
98,14,6,False,-0.155293670404866,-0.3333333333333333,0,-0.155293670404866
99,15,6,False,-0.13155770782889428,-0.35714285714285715,0,-0.13155770782889428
100,10,8,False,-inf,0.14380714879467996,1,0.14380714879467996
101,19,5,False,0.42848447961046865,-0.7085714285714285,0,0.42848447961046865
102,9,5,False,-inf,0.10077519379844961,1,0.10077519379844961
103,10,6,False,-inf,0.2164271047227926,1,0.2164271047227926
104,14,2,False,-0.3025009924573243,-0.3798449612403101,0,-0.3025009924573243
105,21,2,True,0.9718918918918918,0.15483870967741936,0,0.9718918918918918
106,20,10,True,0.4226855299081658,-0.03418803418803419,0,0.4226855299081658
107,16,5,True,-0.24064171122994651,0.0784313725490196,1,0.0784313725490196
108,19,9,False,0.28683774834437087,-0.7240143369175627,0,0.28683774834437087
109,13,7,False,-0.49036402569593146,-0.2864583333333333,1,-0.2864583333333333
110,6,10,False,-inf,-0.39933259176863184,1,-0.39933259176863184
111,17,1,False,-0.6375994694960212,-0.6900584795321637,0,-0.6375994694960212
112,18,7,False,0.39509246088193456,-0.6768707482993197,0,0.39509246088193456
113,18,7,True,0.42720763723150357,0.23484848484848486,0,0.42720763723150357
114,9,9,False,-inf,-0.07910750507099391,1,-0.07910750507099391
115,18,4,False,0.18245319921765857,-0.6666666666666666,0,0.18245319921765857
116,8,4,False,-inf,-0.0424857324032974,1,-0.0424857324032974
117,10,7,False,-inf,0.2170445004198153,1,0.2170445004198153
118,16,6,False,-0.19049621530698066,-0.46689895470383275,0,-0.19049621530698066
119,6,6,False,-inf,-0.09070548712206047,1,-0.09070548712206047
120,7,8,False,-inf,-0.20469798657718122,1,-0.20469798657718122
121,4,8,False,-inf,-0.36,1,-0.36
122,18,9,False,-0.17888272583201267,-0.5598591549295775,0,-0.17888272583201267
123,14,1,False,-0.8056426332288401,-0.5922502666192677,1,-0.5922502666192677
124,9,1,False,-inf,-0.3694362017804154,1,-0.3694362017804154
125,13,10,True,-0.49044585987261147,-0.17578125,1,-0.17578125
126,14,8,False,-0.45896656534954405,-0.4068421052631579,1,-0.4068421052631579
127,19,1,False,-0.11738401341531582,-0.7636363636363637,0,-0.11738401341531582
128,21,5,False,0.89937106918239,-1.0,0,0.89937106918239
129,11,5,False,-inf,0.2840520191649555,1,0.2840520191649555
130,18,5,False,0.202887342098479,-0.6458333333333334,0,0.202887342098479
131,21,3,False,0.8907395069953364,-1.0,0,0.8907395069953364
132,11,3,False,-inf,0.19389524800554978,1,0.19389524800554978
133,20,5,True,0.686358754027927,0.30612244897959184,0,0.686358754027927
134,13,7,True,-0.35294117647058826,0.12972972972972974,1,0.12972972972972974
135,18,9,True,-0.125,-0.14583333333333334,0,-0.125
136,16,5,False,-0.1505661286437003,-0.4175365344467641,0,-0.1505661286437003
137,17,3,True,-0.3380281690140845,-0.011406844106463879,1,-0.011406844106463879
138,6,3,False,-inf,-0.08800880088008801,1,-0.08800880088008801
139,19,8,False,0.5913416682216831,-0.7137404580152672,0,0.5913416682216831
140,16,7,True,-0.6818181818181818,0.005405405405405406,1,0.005405405405405406
141,5,7,False,-inf,-0.18739352640545145,1,-0.18739352640545145
142,14,5,True,-0.15151515151515152,-0.04326923076923077,1,-0.04326923076923077
143,16,4,False,-0.2584844258484426,-0.503968253968254,0,-0.2584844258484426
144,12,5,False,-0.17391304347826086,-0.35755813953488375,0,-0.17391304347826086
145,21,3,True,0.9759036144578314,0.24022346368715083,0,0.9759036144578314
146,20,6,False,0.6931530008453085,-0.893687707641196,0,0.6931530008453085
147,21,7,True,0.9888888888888889,0.07194244604316546,0,0.9888888888888889
148,18,3,False,0.16710557816614796,-0.6556603773584906,0,0.16710557816614796
149,7,3,False,-inf,-0.07102040816326531,1,-0.07102040816326531
150,18,5,True,-0.057971014492753624,0.11323155216284987,1,0.11323155216284987
151,7,1,False,-inf,-0.5032520325203252,1,-0.5032520325203252
152,17,9,True,-0.5,-0.21366459627329193,1,-0.21366459627329193
153,11,9,False,-inf,0.07050823192555476,1,0.07050823192555476
154,21,6,False,0.9016736401673641,-1.0,0,0.9016736401673641
155,14,7,True,-0.43283582089552236,0.06415929203539823,1,0.06415929203539823
156,12,7,False,-0.39433551198257083,-0.23266175900813638,1,-0.23266175900813638
157,8,1,False,-inf,-0.4518147684605757,1,-0.4518147684605757
158,19,1,True,-0.14560161779575329,-0.3246753246753247,0,-0.14560161779575329
159,17,5,False,-0.05632435057052683,-0.6009389671361502,0,-0.05632435057052683
160,19,4,False,0.4384133611691023,-0.7100591715976331,0,0.4384133611691023
161,18,2,False,0.12453760789149199,-0.6216216216216216,0,0.12453760789149199
162,17,2,False,-0.14586786644565475,-0.6707818930041153,0,-0.14586786644565475
163,13,2,False,-0.3170731707317073,-0.45918367346938777,0,-0.3170731707317073
164,10,2,False,-inf,0.13814955640050697,1,0.13814955640050697
165,12,10,True,-0.6190476190476191,-0.2078922040423484,1,-0.2078922040423484
166,9,6,False,-inf,0.15357323872275722,1,0.15357323872275722
167,5,9,False,-inf,-0.2883959044368601,1,-0.2883959044368601
168,19,8,True,0.6321036889332003,0.37037037037037035,0,0.6321036889332003
169,15,5,True,-0.14915254237288136,-0.15789473684210525,0,-0.14915254237288136
170,18,3,True,0.12534435261707988,0.0845771144278607,0,0.12534435261707988
171,20,6,True,0.6876456876456877,0.09523809523809523,0,0.6876456876456877
172,7,6,False,-inf,0.03528468323977546,1,0.03528468323977546
173,15,5,False,-0.1654643823264202,-0.4672131147540984,0,-0.1654643823264202
174,7,4,False,-inf,-0.03015873015873016,1,-0.03015873015873016
175,7,5,False,-inf,-0.01921470342522974,1,-0.01921470342522974
176,7,9,False,-inf,-0.3281378178835111,1,-0.3281378178835111
177,19,6,True,0.4487034949267193,0.4,0,0.4487034949267193
178,5,1,False,-inf,-0.46677740863787376,1,-0.46677740863787376
179,11,6,False,-inf,0.28277545327754533,1,0.28277545327754533
180,10,1,False,-inf,-0.24724602203182375,1,-0.24724602203182375
181,6,1,False,-inf,-0.5440180586907449,1,-0.5440180586907449
182,16,6,True,-0.05084745762711865,0.10329985652797705,1,0.10329985652797705
183,21,9,False,0.9364115026326448,-1.0,0,0.9364115026326448
184,17,3,False,-0.12562486415996524,-0.5110132158590308,0,-0.12562486415996524
185,14,2,True,-0.1864406779661017,0.005535055350553505,1,0.005535055350553505
186,13,3,True,-0.3700787401574803,0.06963249516441006,1,0.06963249516441006
187,13,4,False,-0.22114574557708508,-0.24935064935064935,0,-0.22114574557708508
188,16,10,True,-0.5828877005347594,-0.28137516688918557,1,-0.28137516688918557
189,17,2,True,-0.07407407407407407,0.0,1,0.0
190,16,1,False,-0.7816593886462883,-0.6607389502762431,1,-0.6607389502762431
191,19,5,True,0.4423913043478261,0.2413793103448276,0,0.4423913043478261
192,19,2,True,0.37373737373737376,0.01098901098901099,0,0.37373737373737376
193,6,7,False,-inf,-0.1547212741751991,1,-0.1547212741751991
194,18,8,False,0.10566877890049665,-0.60625,0,0.10566877890049665
195,16,2,True,-0.38613861386138615,-0.023696682464454975,1,-0.023696682464454975
196,13,4,True,-0.21518987341772153,0.08661417322834646,1,0.08661417322834646
197,15,2,False,-0.27067348678601877,-0.4148471615720524,0,-0.27067348678601877
198,8,2,False,-inf,-0.06382978723404255,1,-0.06382978723404255
199,6,9,False,-inf,-0.3356242840778923,1,-0.3356242840778923
200,8,8,False,-inf,-0.09216300940438872,1,-0.09216300940438872
201,8,7,False,-inf,0.04379124175164967,1,0.04379124175164967
202,15,10,True,-0.4819277108433735,-0.24596319939917385,1,-0.24596319939917385
203,19,2,False,0.40023682652457077,-0.8066298342541437,0,0.40023682652457077
204,4,10,False,-inf,-0.4122340425531915,1,-0.4122340425531915
205,6,5,False,-inf,-0.06235565819861432,1,-0.06235565819861432
206,11,8,False,-inf,0.17118997912317327,1,0.17118997912317327
